2012-06,Metropolitan Police,00AFGJ,116,21,39,1,12,4,2,1,11,16,2,7
2012-06,Metropolitan Police,00AFGK,106,27,28,10,15,9,0,1,4,7,2,3
2012-06,Metropolitan Police,00AFGH,63,9,18,0,8,2,1,3,4,9,0,9
2012-06,Metropolitan Police,00AFGF,90,6,31,0,7,16,3,1,9,10,1,6
2012-06,Metropolitan Police,00AFGG,255,23,50,7,7,46,11,44,11,37,6,13
2012-06,Metropolitan Police,00AFGD,75,6,17,0,23,8,0,2,2,12,2,3
2012-06,Metropolitan Police,00AFGE,74,6,26,1,8,9,0,4,5,6,1,8
2012-06,Metropolitan Police,00BAFZ,83,5,25,1,3,2,5,18,3,14,3,4
2012-06,Metropolitan Police,00BAFY,33,3,13,0,0,1,1,4,1,6,0,4
2012-06,Metropolitan Police,00BAFX,82,6,28,3,7,14,3,2,3,9,4,3
2012-06,Metropolitan Police,00BGGC,231,16,106,7,13,31,10,1,17,17,6,7
2012-06,Metropolitan Police,00AMGA,140,11,60,3,10,8,5,6,4,22,5,6
2012-06,Metropolitan Police,00AMGC,237,7,83,4,25,40,7,4,11,37,13,6
2012-06,Metropolitan Police,00AMGB,88,1,36,1,9,23,4,0,2,9,2,1
2012-06,Metropolitan Police,00AMGE,325,16,112,14,17,32,5,11,11,97,7,3
2012-06,Metropolitan Police,00AMGD,107,11,32,4,8,16,4,1,7,22,2,0
2012-06,Metropolitan Police,00AMGG,162,13,50,6,12,20,5,7,13,25,5,6
2012-06,Metropolitan Police,00AMGF,163,7,49,6,21,17,4,2,8,40,6,3
2012-06,Metropolitan Police,00AMGH,137,6,58,5,18,16,4,0,9,11,6,4
2012-06,Metropolitan Police,00AMGK,247,9,107,4,13,30,8,1,13,48,9,5
2012-06,Metropolitan Police,00AMGJ,459,20,96,15,37,38,8,2,18,193,22,10
2012-06,Metropolitan Police,00AMGM,153,7,58,5,18,29,5,1,7,10,5,8
2012-06,Metropolitan Police,00AMGL,280,9,48,3,11,17,5,0,0,22,162,3
2012-06,Metropolitan Police,00AMGN,103,5,48,0,7,9,1,3,4,17,3,6
2012-06,Metropolitan Police,00AMGQ,261,13,54,5,40,27,5,4,13,85,11,4
2012-06,Metropolitan Police,00AMGP,144,14,45,5,14,24,6,5,6,15,4,6
2012-06,Metropolitan Police,00AMGS,167,10,60,1,6,28,1,1,10,36,6,8
2012-06,Metropolitan Police,00AMGR,118,5,45,1,11,18,4,0,7,16,4,7
2012-06,Metropolitan Police,00AMGU,147,9,43,7,29,17,2,0,6,22,8,4
2012-06,Metropolitan Police,00ATFZ,175,14,53,3,17,21,9,1,10,23,7,17
2012-06,Metropolitan Police,00ATFY,129,6,67,2,9,16,4,3,11,7,4,0
2012-06,Metropolitan Police,00BKGB,142,12,40,3,14,8,1,6,7,44,5,2
2012-06,Metropolitan Police,00AJGR,121,9,35,5,13,16,5,7,1,11,4,15
2012-06,Metropolitan Police,00AJGS,164,18,53,4,17,24,10,1,13,11,9,4
2012-06,Metropolitan Police,00AJGP,104,11,39,2,9,26,3,0,3,4,3,4
2012-06,Metropolitan Police,00AJGQ,81,12,20,1,13,9,0,0,8,13,0,5
2012-06,Metropolitan Police,00AJGW,151,21,37,6,27,11,4,8,5,20,3,9
2012-06,Metropolitan Police,00AJGT,170,15,69,4,19,18,5,1,8,19,8,4
2012-06,Metropolitan Police,00AJGU,195,8,65,7,14,32,8,5,16,23,14,3
2012-06,Metropolitan Police,00AJGZ,198,12,77,13,14,23,1,1,7,15,32,3
2012-06,Metropolitan Police,00AJGX,232,9,98,6,11,29,5,4,14,29,12,15
2012-06,Metropolitan Police,00AJGY,229,8,94,13,14,35,3,4,20,22,12,4
2012-06,Metropolitan Police,00AJGC,207,8,77,4,13,32,6,10,25,17,8,7
2012-06,Metropolitan Police,00AJGF,281,8,89,7,13,40,6,39,9,57,7,6
2012-06,Metropolitan Police,00AJGG,141,16,46,1,18,12,2,2,5,19,4,16
2012-06,Metropolitan Police,00AJGD,102,7,28,1,11,23,2,0,9,16,3,2
2012-06,Metropolitan Police,00AJGE,143,9,53,7,8,10,8,0,20,12,12,4
2012-06,Metropolitan Police,00AJGJ,216,13,77,4,12,26,10,10,26,26,5,7
2012-06,Metropolitan Police,00AJGK,243,16,90,3,23,37,11,4,18,18,11,12
2012-06,Metropolitan Police,00AJGH,248,32,66,10,25,24,5,8,12,44,10,12
2012-06,Metropolitan Police,00AJGN,122,9,47,2,11,26,8,1,8,8,1,1
2012-06,Metropolitan Police,00AJGL,139,16,39,3,22,24,2,4,11,7,3,8
2012-06,Metropolitan Police,00AJGM,112,16,27,3,18,9,2,0,8,16,2,11
2012-06,Metropolitan Police,00ANGF,108,2,45,1,14,10,3,1,6,19,3,4
2012-06,Metropolitan Police,00AHGU,54,7,23,1,2,3,1,1,5,7,2,2
2012-06,Metropolitan Police,00ANGE,136,8,43,4,6,17,11,9,10,18,6,4
2012-06,Metropolitan Police,00AHGP,158,13,40,4,14,16,4,8,16,22,5,16
2012-06,Metropolitan Police,00AHGQ,70,7,28,1,8,11,0,1,5,4,3,2
2012-06,Metropolitan Police,00AEHA,239,18,69,10,27,39,5,7,11,28,13,12
